"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"331","Ryan Grant","WR","OAK",9,4,14,35,5,0,3.9,0.4,0.08,0.14,0.26,5.4
"332","Anthony Sherman","RB","KC",3,2,22,10,23,0,3.3,2.2,0,0.01,0.01,5.1
"333","C.J. Board","WR","JAC",4,2,31,31,6,0,7.8,1,0.05,0.05,0.11,5.1
"334","Chris Moore","WR","BAL",5,3,21,61,10,0,12.2,0.34,0.04,0.03,0.07,5.1
"335","Marqise Lee","WR","JAC",4,3,18,22,1,0,5.5,0.82,0.02,0.03,0.06,4.9
"336","Paul Perkins","RB","DET",1,1,9,-1,10,0,-1,-9,0,0.01,0.01,4.8
"337","Stanley Morgan","WR","CIN",10,3,18,57,10,0,5.7,0.32,0.03,0.04,0.07,4.8
"338","T.J. Logan","RB","TB",3,2,13,30,9,0,10,0.43,0.01,0.01,0.02,4.3
"339","Mason Rudolph","QB","PIT",0,0,0,2232,0,0,Inf,0,0.87,0,0.61,4.2
"340","Brett Hundley","QB","ARI",0,0,0,114,0,0,Inf,0,0.13,0,0.09,4.1
"341","Fred Brown","WR","DEN",3,2,21,34,0,0,11.3,0.62,0.03,0.02,0.05,4.1
"342","Tyler Ervin","RB","GB",4,2,11,67,12,0,16.8,0.16,0.04,0.03,0.07,4.1
"343","Josh Bellamy","WR","NYJ",3,2,20,23,10,0,7.7,0.87,0.03,0.02,0.05,4
"344","Brandon Allen","QB","DEN",0,0,0,646,0,0,Inf,0,0.79,0,0.56,3.9
"345","Trevor Davis","WR","GB",1,1,28,18,10,0,18,1.56,0.03,0.02,0.05,3.8
"346","Ashton Dulin","WR","IND",2,2,17,-6,23,0,-3,-2.83,0,0.01,0.01,3.7
"347","Michael Walker","WR","JAC",3,2,15,12,7,0,4,1.25,0.01,0.01,0.02,3.5
"348","Mike Thomas","WR","LA",5,2,14,51,10,0,10.2,0.27,0.03,0.02,0.05,3.4
"349","Tra Carson","RB","DET",0,0,0,0,0,0,NA,NA,0,0,0,3.4
"350","Teddy Bridgewater","QB","NO",0,0,0,1208,0,0,Inf,0,0.63,0,0.44,3.1
"351","Keith Smith","RB","ATL",3,1,13,21,13,0,7,0.62,0.01,0.01,0.02,3.1
"352","Philip Rivers","QB","LAC",0,0,0,5026,0,0,Inf,0,0.99,0,0.7,2.9
"353","Nick Foles","QB","JAC",0,0,0,990,0,0,Inf,0,0.8,0,0.56,2.3
"354","Will Grier","QB","CAR",0,0,0,491,0,0,Inf,0,0.63,0,0.44,2.2
"355","John Ursua","WR","SEA",1,1,11,11,0,0,11,1,0.04,0.02,0.07,2.1
"356","Joe Flacco","QB","DEN",0,0,0,1752,0,0,Inf,0,1,0,0.7,2
"357","Zach Zenner","RB","ARI",1,1,13,-2,15,0,-2,-6.5,-0.01,0.02,0.02,2
"358","Austin Carr","WR","NO",4,1,9,45,0,0,11.2,0.2,0.09,0.05,0.14,1.9
"359","Zach Zenner","RB","NO",2,1,6,7,4,0,3.5,0.86,0.02,0.05,0.1,1.7
"360","Dwayne Harris","WR","OAK",1,1,7,0,7,0,0,Inf,0,0.01,0.02,1.7
"361","Jaleel Scott","WR","BAL",3,1,6,39,6,0,13,0.15,0.29,0.14,0.42,1.6
"362","Senorise Perry","RB","BUF",1,1,1,-1,2,0,-1,-1,0,0,0.01,1.4
"363","Colt McCoy","QB","WAS",0,0,0,177,0,0,Inf,0,1,0,0.7,1.4
"364","Krishawn Hogan","WR","NO",1,1,4,2,2,0,2,2,0.01,0.02,0.04,1.4
"365","Josh Rosen","QB","MIA",0,0,0,871,0,0,Inf,0,0.53,0,0.37,1.3
"366","Damien Harris","RB","NE",0,0,0,0,0,0,NA,NA,0,0,0,1.2
"367","Dexter Williams","RB","GB",0,0,0,0,0,0,NA,NA,0,0,0,1.1
"368","Buddy Howell","RB","HOU",0,0,0,15,0,0,Inf,0,0.01,0,0,1
"369","John Kelly","RB","LA",0,0,0,0,0,0,NA,NA,0,0,0,0.9
"370","Jordan Scarlett","RB","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0.9
"371","Ben Roethlisberger","QB","PIT",0,0,0,576,0,0,Inf,0,0.79,0,0.56,0.7
"372","Eli Manning","QB","NYG",0,0,0,1199,0,0,Inf,0,0.98,0,0.68,0.7
"373","Tony Brooks-James","RB","PIT",0,0,0,0,0,0,NA,NA,0,0,0,0.7
"374","Tyrod Taylor","QB","LAC",1,0,0,28,0,0,28,0,0.03,0.01,0.03,0.7
"375","Chase Daniel","QB","CHI",0,0,0,425,0,0,Inf,0,0.56,0,0.39,0.6
"376","Quincy Enunwa","WR","NYJ",3,1,-4,47,-4,0,15.7,-0.09,0.21,0.07,0.26,0.6
"377","Brian Hoyer","QB","IND",0,0,0,559,0,0,Inf,0,0.51,0,0.36,0.2
"378","Mike Davis","RB","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0.2
"379","Trace McSorley","QB","BAL",0,0,0,0,0,0,NA,NA,0,0,0,0.1
"380","Alex Tanney","QB","NYG",0,0,0,1,0,0,Inf,0,0,0,0,0
